2018-12-12 04:07:58.162282: 19.00 F, 42.00 Humidity, 353 Light
2018-12-12 04:08:00.671977: 19.00 F, 42.10 Humidity, 351 Light
2018-12-12 04:08:03.181897: 19.10 F, 42.20 Humidity, 355 Light
2018-12-12 04:08:05.692374: 19.00 F, 42.10 Humidity, 361 Light
2018-12-12 04:08:08.200928: 19.00 F, 42.10 Humidity, 367 Light
2018-12-12 04:08:09.543030: 19.10 F, 42.30 Humidity, 370 Light
2018-12-12 04:08:12.053321: 19.00 F, 42.10 Humidity, 366 Light
2018-12-12 04:08:14.564137: 19.00 F, 42.20 Humidity, 361 Light
2018-12-12 04:08:17.074252: 19.10 F, 42.30 Humidity, 352 Light
2018-12-12 04:08:19.584332: 19.10 F, 42.30 Humidity, 353 Light
2018-12-12 04:08:20.925594: 19.10 F, 42.30 Humidity, 357 Light
2018-12-12 04:08:23.434911: 18.90 F, 42.10 Humidity, 366 Light
2018-12-12 04:08:25.944147: 19.00 F, 42.20 Humidity, 372 Light
2018-12-12 04:08:28.452853: 19.10 F, 42.30 Humidity, 365 Light
2018-12-12 04:08:30.962050: 19.00 F, 42.20 Humidity, 355 Light
2018-12-12 04:08:32.307774: 19.00 F, 42.20 Humidity, 353 Light
2018-12-12 04:08:34.818096: 19.10 F, 42.30 Humidity, 357 Light
2018-12-12 04:08:37.329032: 19.10 F, 42.30 Humidity, 369 Light
2018-12-12 04:08:39.839391: 19.10 F, 42.30 Humidity, 371 Light
2018-12-12 04:08:42.349751: 19.10 F, 42.30 Humidity, 358 Light
2018-12-12 04:08:43.690295: 19.00 F, 42.20 Humidity, 351 Light
2018-12-12 04:08:46.197745: 19.10 F, 42.30 Humidity, 354 Light
2018-12-12 04:08:48.709489: 19.00 F, 42.20 Humidity, 369 Light
2018-12-12 04:08:51.219633: 19.10 F, 42.30 Humidity, 370 Light
2018-12-12 04:08:53.729562: 19.10 F, 42.30 Humidity, 357 Light
2018-12-12 04:08:55.069795: 19.00 F, 42.20 Humidity, 352 Light
2018-12-12 04:08:57.578878: 19.00 F, 42.20 Humidity, 356 Light
2018-12-12 04:09:00.088014: 19.00 F, 42.20 Humidity, 368 Light
2018-12-12 04:09:02.598823: 19.00 F, 42.20 Humidity, 370 Light
2018-12-12 04:09:05.107106: 19.00 F, 42.20 Humidity, 359 Light
2018-12-12 04:12:35.512584: 18.90 F, 42.10 Humidity, 363 Light
2018-12-12 04:12:36.808779: 18.90 F, 42.10 Humidity, 370 Light
2018-12-12 04:12:39.321063: 18.80 F, 42.00 Humidity, 374 Light
2018-12-12 04:12:41.832035: 18.90 F, 42.20 Humidity, 370 Light
2018-12-12 04:12:44.343583: 18.90 F, 42.20 Humidity, 358 Light
2018-12-12 04:12:46.856371: 18.90 F, 42.20 Humidity, 357 Light
2018-12-12 04:12:48.187293: 18.90 F, 42.20 Humidity, 365 Light
2018-12-12 04:12:50.697188: 19.00 F, 42.30 Humidity, 368 Light
2018-12-12 04:12:53.206881: 18.90 F, 42.20 Humidity, 367 Light
2018-12-12 04:12:55.717766: 18.90 F, 42.20 Humidity, 359 Light
2018-12-12 04:12:58.228591: 18.90 F, 42.20 Humidity, 355 Light
2018-12-12 04:12:59.569379: 18.90 F, 42.20 Humidity, 357 Light
2018-12-12 04:13:02.080470: 18.90 F, 42.30 Humidity, 362 Light
2018-12-12 04:13:04.590029: 18.90 F, 42.00 Humidity, 368 Light
2018-12-12 04:13:07.099930: 19.00 F, 42.00 Humidity, 376 Light
2018-12-12 04:13:09.609696: 18.90 F, 41.90 Humidity, 376 Light
2018-12-12 04:13:10.951252: 18.90 F, 42.00 Humidity, 367 Light
2018-12-12 04:13:13.460451: 18.90 F, 42.00 Humidity, 362 Light
2018-12-12 04:13:15.969326: 18.80 F, 42.00 Humidity, 358 Light
2018-12-12 04:13:18.479173: 18.90 F, 42.20 Humidity, 352 Light
2018-12-12 04:13:20.989429: 18.90 F, 42.20 Humidity, 354 Light
2018-12-12 04:13:22.331577: 18.90 F, 42.20 Humidity, 362 Light
2018-12-12 04:13:24.840946: 18.90 F, 42.20 Humidity, 359 Light
2018-12-12 04:13:27.350114: 18.90 F, 42.20 Humidity, 365 Light
2018-12-12 04:13:29.864130: 18.90 F, 42.20 Humidity, 369 Light
2018-12-12 04:13:32.374163: 18.90 F, 42.20 Humidity, 371 Light
2018-12-12 04:13:33.711814: 18.90 F, 42.20 Humidity, 368 Light
2018-12-12 04:13:36.222111: 18.80 F, 42.10 Humidity, 364 Light
2018-12-12 04:13:38.731291: 18.90 F, 42.20 Humidity, 358 Light
2018-12-12 04:13:41.239134: 18.90 F, 42.30 Humidity, 352 Light
2018-12-12 04:13:43.749132: 18.90 F, 42.30 Humidity, 350 Light
2018-12-12 04:13:45.094111: 19.00 F, 42.30 Humidity, 352 Light
2018-12-12 04:13:47.605429: 18.90 F, 42.30 Humidity, 357 Light
2018-12-12 04:13:50.115789: 18.90 F, 42.20 Humidity, 365 Light
2018-12-12 04:13:52.625375: 18.90 F, 42.20 Humidity, 367 Light
2018-12-12 04:13:55.134140: 18.90 F, 42.20 Humidity, 373 Light
2018-12-12 04:13:56.473471: 18.90 F, 42.30 Humidity, 370 Light
2018-12-12 04:13:58.982589: 18.90 F, 42.30 Humidity, 366 Light
2018-12-12 04:14:01.490843: 19.00 F, 42.40 Humidity, 358 Light
2018-12-12 04:14:03.999727: 18.90 F, 42.30 Humidity, 353 Light
2018-12-12 04:14:06.509396: 18.90 F, 42.30 Humidity, 352 Light
2018-12-12 04:14:07.854110: 18.90 F, 42.20 Humidity, 353 Light
2018-12-12 04:14:10.364472: 18.90 F, 42.20 Humidity, 352 Light
2018-12-12 04:14:12.873279: 18.90 F, 42.20 Humidity, 360 Light
2018-12-12 04:14:15.383428: 18.90 F, 42.20 Humidity, 363 Light
2018-12-12 04:14:17.894146: 18.90 F, 42.20 Humidity, 368 Light
2018-12-12 04:14:19.240092: 19.00 F, 42.30 Humidity, 370 Light
2018-12-12 04:14:21.751156: 18.90 F, 42.30 Humidity, 369 Light
2018-12-12 04:14:24.262694: 18.90 F, 42.30 Humidity, 365 Light
2018-12-12 04:14:26.774936: 18.90 F, 42.30 Humidity, 357 Light
2018-12-12 04:14:29.286537: 18.90 F, 42.30 Humidity, 353 Light
2018-12-12 04:14:30.619720: 18.90 F, 42.30 Humidity, 352 Light
2018-12-12 04:14:33.134474: 18.90 F, 42.30 Humidity, 353 Light
2018-12-12 04:14:35.646873: 18.90 F, 42.30 Humidity, 361 Light
2018-12-12 04:14:38.158587: 18.80 F, 42.30 Humidity, 362 Light
2018-12-12 04:14:40.670818: 18.90 F, 42.40 Humidity, 367 Light
